classe_obf	typedef_index	nom_clair	score	methode	statut	provenances_daccord	nb_candidats_a_egalite	chemin_de_preuve
		AIFighterInformation			À_CLASSER		81	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
mir		Accessibility	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py) -> arrastre champ f2 (mit.f2=mir <-> ServerInformation.f2=Accessibility)
		AccessoryPreviewRequest			À_CLASSER		13	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AccountCapabilitiesEvent			À_CLASSER		5	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AccountInformationUpdateEvent			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AccountSubscriptionElapsedDurationUpdateEvent			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
ihi	10661	AccountTag	1.0	v2	DÉDUIT	v2	1	graine v2 (forme+champs, matcher_v2.py)
		AchievedAchievement			À_CLASSER		25	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		Achievement			À_CLASSER		7	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementDetailsEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementDetailsRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementFinishedEvent			À_CLASSER		111	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementFinishedInformationEvent			À_CLASSER		18	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementObjective			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementPioneerRank			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementRewardRequest			À_CLASSER		179	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementRewardResultEvent			À_CLASSER		59	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementsAlmostFinishedDetailedEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementsAlmostFinishedDetailedRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementsDetailedEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementsDetailedRequest			À_CLASSER		147	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementsEvent			À_CLASSER		47	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
		AchievementsPioneerRanksRequest			À_CLASSER		108	0 ou plusieurs candidats de même round-0 dans Game, aucun retenu
